Dept;Section;Family;Sub-family;Level 1 code;Priority level 1;Level 1 Name;Level 2 code;Priority level 2;Level 2 Name;Level 3 code;Priority level 3;Level 3 Name;Level 4 code;Priority level 4;Level 4 Name;Classification code in Hybris;Classification name in Hybris;Product Type
1;21;6;2;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
2;50;101;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010317;;Safron;consumable;consumable;FOOD
1;14;202;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010114;;Adult Fitness;consumable;consumable;FOOD
1;14;203;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010110;;jam & Honey;consumable;consumable;FOOD
1;14;204;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010108;;Coffee & Filters;consumable;consumable;FOOD
1;21;6;1;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;14;206;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010106;;Chocolate & Nourishing Drinks;consumable;consumable;FOOD
1;21;6;3;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;21;6;4;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;21;6;5;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;21;6;7;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020207;;Ice tea & Coffee Drinks;consumable;consumable;FOOD
1;21;6;10;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;21;6;11;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020201;;Chilled Juices;consumable;consumable;FOOD
1;14;207;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010113;;Tea & Infusions;consumable;consumable;FOOD
1;14;208;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010109;;Evaporated Milk;consumable;consumable;FOOD
1;14;209;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010700;;Biscuits & Cakes;F1010701;;Biscuits;consumable;consumable;FOOD
1;14;212;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010600;;Chocolates & Sweets;F1010612;;Tablette Chocolates;consumable;consumable;FOOD
1;14;214;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010600;;Chocolates & Sweets;F1010604;;Speciality;consumable;consumable;FOOD
1;14;215;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010600;;Chocolates & Sweets;F1010611;;Sweets & Candies;consumable;consumable;FOOD
1;14;217;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010201;;Canned Fruits;consumable;consumable;FOOD
1;14;218;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010314;;Jellies;consumable;consumable;FOOD
1;14;219;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010308;;Creams Ready To Eat;consumable;consumable;FOOD
1;14;220;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010311;;Flour;consumable;consumable;FOOD
1;14;221;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010310;;Sugar;consumable;consumable;FOOD
1;14;222;2;F1000000;;Groceries;F1030000;;Organic & Free From;F1030300;;Organic & Bio Food;F1030301;;Organic & Bio;consumable;consumable;FOOD
1;14;225;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010400;;"Rice, Pasta, Noodles, Pulses & Sauces";F1010401;;Pasta;consumable;consumable;FOOD
1;14;227;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010400;;"Rice, Pasta, Noodles, Pulses & Sauces";F1010408;;"Pulses , Semolina & Couscous";consumable;consumable;FOOD
1;14;229;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010203;;Canned Vegetables;consumable;consumable;FOOD
1;14;230;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010212;;"Sardine , Mackerel & Anchovie";consumable;consumable;FOOD
1;14;231;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010214;;Beef Luncheon;consumable;consumable;FOOD
1;14;232;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010208;;Ready Meals;consumable;consumable;FOOD
1;14;234;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010316;;"Olives , Pickles & Gherkins";consumable;consumable;FOOD
1;14;235;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010321;;"Table Sauces, Marinades & Dressing";consumable;consumable;FOOD
1;14;236;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010313;;"Oil , Tahina & Ghee";consumable;consumable;FOOD
1;14;237;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010321;;"Table Sauces, Marinades & Dressing";consumable;consumable;FOOD
1;14;238;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010319;;"Spices, Herbs & Salt";consumable;consumable;FOOD
1;14;239;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010200;;"Cans, Tins & Soup";F1010211;;Soups & Crouton;consumable;consumable;FOOD
1;14;241;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010500;;"Chips, Nuts & Snacks";F1010506;;"Peanuts , Pistachios & Cashew";consumable;consumable;FOOD
1;14;243;2;F1000000;;Groceries;F1030000;;Organic & Free From;F1030100;;Diet & Sugar Free;F1030101;;Diet Products;consumable;consumable;FOOD
1;14;245;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010322;;Tomato Sauce For Pasta & Pizza;consumable;consumable;FOOD
1;14;246;2;F1000000;;Groceries;F1030000;;Organic & Free From;F1030300;;Organic & Bio Food;F1030301;;Organic & Bio;consumable;consumable;FOOD
1;14;247;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010600;;Chocolates & Sweets;F1010611;;Sweets & Candies;consumable;consumable;FOOD
1;14;248;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010500;;"Chips, Nuts & Snacks";F1010504;;Chips;consumable;consumable;FOOD
1;14;249;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010110;;jam & Honey;consumable;consumable;FOOD
1;14;250;2;F1000000;;Groceries;F1040000;;Food From The World;F1040300;;Ethnic Philipino;F1040303;;Cooking;consumable;consumable;FOOD
1;14;251;2;F1000000;;Groceries;F1040000;;Food From The World;F1040400;;Ethnic Southern Asian;F1040403;;Bangladesh;consumable;consumable;FOOD
1;14;252;2;F1000000;;Groceries;F1040000;;Food From The World;F1040100;;Ethnic Far East;F1040102;;Chinese;consumable;consumable;FOOD
1;14;253;2;F1000000;;Groceries;F1040000;;Food From The World;F1040200;;Ethnic Mexican;F1040202;;Nachos;consumable;consumable;FOOD
1;14;254;2;F1000000;;Groceries;F1040000;;Food From The World;F1040500;;Ethnic Western;F1040502;;USA;consumable;consumable;FOOD
1;14;255;2;F1000000;;Groceries;F1030000;;Organic & Free From;F1030200;;Free From & Gulten Free;F1030102;;Sugar Free;consumable;consumable;FOOD
1;14;256;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010111;;Hallawa & Spreads;consumable;consumable;FOOD
1;14;257;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010117;;Milk Powder;consumable;consumable;FOOD
1;14;258;2;F1000000;;Groceries;F1030000;;Organic & Free From;F1030300;;Organic & Bio Food;F1030302;;Oils;consumable;consumable;FOOD
1;14;259;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010400;;"Rice, Pasta, Noodles, Pulses & Sauces";F1010402;;Noodles;consumable;consumable;FOOD
1;14;260;2;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010315;;Olive Oil;consumable;consumable;FOOD
1;11;261;2;F1000000;;Groceries;F1020000;;Drinks;F1020300;;Soft Drinks & Syrups;F1020303;;SoftDrinks;consumable;consumable;FOOD
1;11;262;2;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020203;;Concentrate Fruits Juice;consumable;consumable;FOOD
2;50;101;4;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010110;;jam & Honey;consumable;consumable;FOOD
2;50;101;6;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010108;;Coffee & Filters;consumable;consumable;FOOD
1;11;264;2;F1000000;;Groceries;F1020000;;Drinks;F1020500;;Instant powder drink;F1020502;;Mango Flavor;consumable;consumable;FOOD
2;50;102;3;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010319;;"Spices, Herbs & Salt";consumable;consumable;FOOD
2;50;102;5;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010324;;Other Items;consumable;consumable;FOOD
2;50;102;6;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010315;;Olive Oil;consumable;consumable;FOOD
1;11;265;2;F1000000;;Groceries;F1020000;;Drinks;F1020400;;Sports & Energy Drinks;F1020403;;Vitamins Drinks;consumable;consumable;FOOD
2;50;102;9;F1000000;;Groceries;F1010000;;Food Cupboard;F1010300;;Cooking & Home Baking;F1010315;;Olive Oil;consumable;consumable;FOOD
1;11;266;2;F1000000;;Groceries;F1020000;;Drinks;F1020100;;Water;F1020102;;Drinking Water;consumable;consumable;FOOD
2;51;113;1;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010111;;Hallawa & Spreads;consumable;consumable;FOOD
2;51;113;3;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010110;;jam & Honey;consumable;consumable;FOOD
2;56;180;100;F1000000;;Groceries;F1020000;;Drinks;F1020200;;Juices & Iced Tea;F1020205;;Fresh Juices;consumable;consumable;FOOD
2;56;182;101;F1000000;;Groceries;F1010000;;Food Cupboard;F1010500;;"Chips, Nuts & Snacks";F1010503;;Dry Fruits & Raw Nuts;consumable;consumable;FOOD
1;14;201;1;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010101;;Oats & Rusk;consumable;consumable;FOOD
1;14;201;3;F1000000;;Groceries;F1010000;;Food Cupboard;F1010100;;Breakfast;F1010120;;Rice Puffs & Other Puffs;consumable;consumable;FOOD
